Comment,Designator,Footprint,LCSC,Quantity
100kΩ,"R23,R51,R6",R_0402,C25741,3
100nF,"C12,C30,C31,C33,C41,C46,C47,C48,C49,C5,C50,C53,C64,C65,C76,C83",C_0402,C1525,16
100nF,"C11,C20,C22,C8",C_0402,C162178,4
100Ω,"R1,R2,R42,R44,R45,R46,R47,R48,R49,R56",R_0402,C25076,10
1053141104,"CN1,CN2,CN3",CONN-TH_4P-P2.50_MOLEX_1053141104,C841207,3
10kΩ,"R22,R24,R43,R50,R53",R_0402,C25744,5
10nF,"C56,C57,C58",C_0402,C15195,3
10Ω,"R25,R26,R27,R28,R31,R32",R_0402,C25077,6
120Ω,R14,R_0402,C25079,1
18pF,"C85,C87",C_0402,C1549,2
19.1kΩ,R11,R_0402,C52036,1
1kΩ,"R34,R36,R41,R55",R_0402,C11702,4
1nF,"C51,C66,C67",C_0402,C1523,3
1nF,"C21,C24,C25",C_0402,C527013,3
1uF,"C23,C27,C28",C_1206,C13832,3
1uF,"C13,C14,C15,C29,C36,C37,C42,C43,C45,C52,C93",C_0402,C52923,11
2.2nF,"C39,C40",C_0402,C1531,2
2.2nF,"C18,C26,C32",C_0402,C576731,3
2.2uF,"C54,C55",C_0402,C72203,2
2.7Ω,"R10,R13,R7",R_0805,C17532,3
20kΩ,"R52,R54",R_0402,C25765,2
2mΩ,"R12,R8,R9",R_2512_6332Metric,C2994640,3
330Ω,"R3,R4,R5",R_0402,C25104,3
383kΩ,R18,R_0805,C17652,1
383kΩ,"R33,R35,R37",R_0402,C317011,3
4.7kΩ,"R17,R21",R_0402,C25900,2
4.7uF,"C68,C69,C70,C71,C72,C73",C_1206,C237304,6
4.7uF,C44,C_0402,C23733,1
47nF,"C38,C6",C_0603,C559308,2
47nF,"C61,C62,C63",C_0402,C82219,3
47uF,"C10,C17,C19",C_1206,C172351,3
5.1kΩ,"R29,R30",R_0402,C25905,2
56Ω,"R15,R16,R20",R_0402,C25127,3
9.76kΩ,R19,R_0805,C17859,1
9.76kΩ,"R38,R39,R40",R_0402,C2998101,3
DRV8353SRTAR,U4,WQFN-40_L6.0-W6.0-P0.50-TL-EP4.5,C701785,1
EEHZC1K470V,"C1,C2,C3,C4,C7",CAP-SMD_BD10.0-L10.3-W10.3-FD,C454280,5
FNR4020S8R2MT,L1,IND-SMD_L4.0-W4.0_FNR40XXS,C167834,1
GRM32EC72A106KE05L,C9,C1210,C576517,1
Green,D2,D_0805,C2297,1
IAUCN08S7N019ATMA1,"Q1,Q2,Q3,Q4,Q5,Q6",TDSON-8-1,C33993693,6
LM66200DRLR,U5,SOT-583-8_L2.1-W1.2-P0.50-LS1.6-BL,C3235556,1
LMR51635YDDCR,U1,SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BL,C45262770,1
"PESD2CAN,215",D3,SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR,C75176,1
Red,D4,D_0805,C84256,1
TCAN1462VDRBRQ1,U8,DFN-8_L3.0-W3.0-P0.65-TL-EP2.4,C5215833,1
"Tactile Button, 160gf","S1,S2",SW_TS-1088-AR02016,C720477,2
Thermistor_NTC,"TH1,TH2",R_0603,C2892547,2
White,D1,D_0603,C2290,1
X322524MOB4SI,X1,CRYSTAL-SMD_4P-L3.2-W2.5-BL,C70590,1
Yellow,D6,D_0805,C2296,1
~,FB1,FB_0603,C1002,1
~,FB2,FB_0603,C14709,1
TestPoint,TP13,TestPoint_Pad_1.5x1.5mm,,1
TestPoint,TP12,TestPoint_Pad_1.5x1.5mm,,1
AP2112K-3.3,U6,SOT-23-5,,1
USBLC6-2P6,U20,SOT-666,,1
STM32G474RETx,U7,LQFP-64_10x10mm_P0.5mm,,1
MA730,U2,QFN-16-1EP_3x3mm_P0.5mm_EP1.75x1.75mm,,1
USB_C_Receptacle_USB2.0_16P,J2,USB_C_Receptacle_HRO_TYPE-C-31-M-12,,1
Screw_Terminal_01x05,J4,CUI_TB005_-762-05BE,,1
Conn_02x01,J1,PinHeader_2x01_P2.54mm_Vertical,,1
TPD1E05U06DYA,U3,D_SOD-523,,1
TestPoint,TP9,TestPoint_Pad_1.5x1.5mm,,1
TestPoint,TP8,TestPoint_Pad_1.5x1.5mm,,1
TestPoint,TP1,TestPoint_Pad_1.5x1.5mm,,1
TestPoint,TP11,TestPoint_Pad_1.5x1.5mm,,1
TestPoint,TP10,TestPoint_Pad_1.5x1.5mm,,1
TestPoint,TP7,TestPoint_Pad_1.5x1.5mm,,1
TestPoint,TP6,TestPoint_Pad_1.5x1.5mm,,1
